Environment activated: /hpchome/giorgio24/Log-Anomaly-Detection-via-LLMs/conda_venv
Starting fine tuning BERT model..
Loaded data..
Prepared datasets..
Tokenized data..
Loaded BERT..
12.1
<function is_available at 0x7f295c9b87c0>
Using device: cuda
Starting training BERT..
{'loss': 0.3342, 'grad_norm': 1.814407467842102, 'learning_rate': 9.999652210204154e-06, 'epoch': 0.0}
{'loss': 0.1618, 'grad_norm': 1.3769748210906982, 'learning_rate': 9.999304420408305e-06, 'epoch': 0.0}
{'loss': 0.1097, 'grad_norm': 2.0549957752227783, 'learning_rate': 9.998956630612458e-06, 'epoch': 0.0}
{'loss': 0.0743, 'grad_norm': 0.624439001083374, 'learning_rate': 9.998608840816611e-06, 'epoch': 0.0}
{'loss': 0.046, 'grad_norm': 0.4116400480270386, 'learning_rate': 9.998261051020764e-06, 'epoch': 0.0}
{'loss': 0.1957, 'grad_norm': 2.1687557697296143, 'learning_rate': 9.997913261224917e-06, 'epoch': 0.0}
{'loss': 0.0825, 'grad_norm': 0.37290292978286743, 'learning_rate': 9.99756547142907e-06, 'epoch': 0.0}
{'loss': 0.0985, 'grad_norm': 0.33357274532318115, 'learning_rate': 9.997217681633221e-06, 'epoch': 0.0}
{'loss': 0.1777, 'grad_norm': 4.3105244636535645, 'learning_rate': 9.996869891837374e-06, 'epoch': 0.0}
{'loss': 0.0417, 'grad_norm': 0.3130364418029785, 'learning_rate': 9.996522102041527e-06, 'epoch': 0.0}
{'loss': 0.0419, 'grad_norm': 0.35877522826194763, 'learning_rate': 9.99617431224568e-06, 'epoch': 0.0}
{'loss': 0.1316, 'grad_norm': 2.094655752182007, 'learning_rate': 9.995826522449832e-06, 'epoch': 0.0}
{'loss': 0.0681, 'grad_norm': 0.2361169308423996, 'learning_rate': 9.995478732653985e-06, 'epoch': 0.0}
{'loss': 0.0965, 'grad_norm': 2.417663812637329, 'learning_rate': 9.995130942858138e-06, 'epoch': 0.0}
{'loss': 0.1327, 'grad_norm': 1.946982502937317, 'learning_rate': 9.994783153062289e-06, 'epoch': 0.01}
